accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,activity
-0.32740784,1.8368683,6.881607,-1.4540405,0.20869446,-0.4874115,NOT FALL
-2.0943298,1.140152,7.2072296,-1.352829,-0.078933716,-0.5832825,NOT FALL
-2.82695,-0.45439148,7.508896,-1.0438995,-0.13752747,-0.44586182,NOT FALL
-2.82695,-0.28678894,8.409119,-0.68278503,-0.3015747,-0.1742096,NOT FALL
-3.2124176,1.1042328,9.749863,-0.3930359,-0.10983276,0.010070801,NOT FALL
-2.7287903,2.0236053,8.313339,-0.19915771,-0.1993103,0.11979675,NOT FALL
-2.3840332,2.5623016,8.191238,0.2962036,-0.5423279,0.32006836,NOT FALL
-2.451065,2.1672668,8.686844,0.44532776,-0.2642975,0.4287262,NOT FALL
-2.518097,1.6620789,8.65332,0.5635834,-0.45710754,0.3030243,NOT FALL
-1.7950592,1.9134827,7.786621,0.9087219,-0.8597717,0.31367493,NOT FALL
-1.4191589,2.3468323,8.993301,1.0599976,-0.66589355,0.37120056,NOT FALL
-1.7304077,3.0243835,9.227936,1.2709198,-0.6307373,0.3360443,NOT FALL
-0.9427185,3.2494354,7.4370728,1.5159302,-0.705307,0.330719,NOT FALL
-0.28671265,3.1033936,7.8560486,1.7428284,-0.8075714,0.33285522,NOT FALL
-0.1550293,3.1321259,7.161728,1.9494934,-0.7553711,0.3030243,NOT FALL
-0.43754578,3.7713776,7.3939667,1.9505463,-0.48480225,0.32965088,NOT FALL
-0.53330994,5.2342377,8.0212555,2.0964966,-0.73620605,0.3541565,NOT FALL
-0.7799072,6.9341125,7.2622833,2.2136688,-0.74365234,0.2753296,NOT FALL
-1.4431,7.199875,6.6110687,2.1881104,-0.43685913,0.154953,NOT FALL
-1.869278,5.954895,5.995758,2.1891785,-0.2919922,0.114471436,NOT FALL
-1.91716,4.8463745,5.8281555,2.1167297,0.08192444,0.11553955,NOT FALL
-1.8908234,5.784897,8.090683,1.9814453,0.26515198,0.108078,NOT FALL
-1.0504608,8.107269,9.005264,1.9026184,0.14796448,0.05908203,NOT FALL
-1.0935516,9.182266,6.4315033,1.8110046,0.24597168,0.002624512,NOT FALL
-2.5276794,9.170303,6.584732,1.7279053,0.26408386,-0.028274536,NOT FALL
-1.3904266,8.571747,6.699646,1.4520111,0.46754456,-0.1433258,NOT FALL
0.165802,8.320358,5.5935364,1.3145905,0.33119202,-0.33187866,NOT FALL
